name,rank,score,cities,websites,num_rank,num_score,city_name,state,zipcode
University of Iowa Hospitals and Clinics,#18 in Adult Cancer Hospitals,70.2/100,"Iowa City, IA 52242-1009",https://health.usnews.com/best-hospitals/area/ia/university-of-iowa-hospitals-and-clinics-6620765,18,70.2,Iowa City,IA,52242-1009
Wake Forest Baptist Medical Center,#19 in Adult Cancer Hospitals,70.0/100,"Winston-Salem, NC 27157-0001",https://health.usnews.com/best-hospitals/area/nc/wake-forest-baptist-medical-center-6361700,19,70.0,Winston-Salem,NC,27157-0001
Ohio State University James Cancer Hospital,#20 in Adult Cancer Hospitals,69.9/100,"Columbus, OH 43210-1280",https://health.usnews.com/best-hospitals/area/oh/ohio-state-university-james-cancer-hospital-6410008,20,69.9,Columbus,OH,43210-1280
City of Hope Helford Clinical Research Hospital,#21 in Adult Cancer Hospitals,69.4/100,"Duarte, CA 91010-3012",https://health.usnews.com/best-hospitals/area/ca/city-of-hope-6930590,21,69.4,Duarte,CA,91010-3012
UCLA Medical Center,#21 in Adult Cancer Hospitals,69.4/100,"Los Angeles, CA 90095-8358",https://health.usnews.com/best-hospitals/area/ca/ucla-medical-center-6931755,21,69.4,Los Angeles,CA,90095-8358
UPMC Presbyterian Shadyside,#23 in Adult Cancer Hospitals,68.9/100,"Pittsburgh, PA 15213-2536",https://health.usnews.com/best-hospitals/area/pa/upmc-university-of-pittsburgh-medical-center-6230029,23,68.9,Pittsburgh,PA,15213-2536
MUSC Health-University Medical Center,#24 in Adult Cancer Hospitals,68.7/100,"Charleston, SC 29425-8905",https://health.usnews.com/best-hospitals/area/sc/medical-university-of-south-carolina-6370085,24,68.7,Charleston,SC,29425-8905
New York-Presbyterian Hospital-Columbia and Cornell,#25 in Adult Cancer Hospitals,68.5/100,"New York, NY 10065-4870",https://health.usnews.com/best-hospitals/area/ny/new-york-presbyterian-university-hospital-of-columbia-and-cornell-6210024,25,68.5,New York,NY,10065-4870
Jefferson Health-Thomas Jefferson University Hospitals,#26 in Adult Cancer Hospitals,68.4/100,"Philadelphia, PA 19107-5084",https://health.usnews.com/best-hospitals/area/pa/thomas-jefferson-university-hospital-6230043,26,68.4,Philadelphia,PA,19107-5084
UCHealth University of Colorado Hospital,#26 in Adult Cancer Hospitals,68.4/100,"Aurora, CO 80045-2545",https://health.usnews.com/best-hospitals/area/co/university-of-colorado-hospital-6840430,26,68.4,Aurora,CO,80045-2545
OHSU Hospital,#28 in Adult Cancer Hospitals,67.9/100,"Portland, OR 97239-3098",https://health.usnews.com/best-hospitals/area/or/oregon-health-and-science-university-6920570,28,67.9,Portland,OR,97239-3098
University Hospitals Seidman Cancer Center,#28 in Adult Cancer Hospitals,67.9/100,"Cleveland, OH 44106-1716",https://health.usnews.com/best-hospitals/area/oh/university-hospitals-case-medical-center-6410920,28,67.9,Cleveland,OH,44106-1716
Mayo Clinic Hospital in Florida,#30 in Adult Cancer Hospitals,67.8/100,"Jacksonville, FL 32224-1865",https://health.usnews.com/best-hospitals/area/fl/mayo-clinic-6390380,30,67.8,Jacksonville,FL,32224-1865
Roswell Park Comprehensive Cancer Center,#30 in Adult Cancer Hospitals,67.8/100,"Buffalo, NY 14263-0001",https://health.usnews.com/best-hospitals/area/ny/roswell-park-cancer-institute-6211120,30,67.8,Buffalo,NY,14263-0001
University of Maryland Medical Center,#32 in Adult Cancer Hospitals,67.7/100,"Baltimore, MD 21201-1595",https://health.usnews.com/best-hospitals/area/md/university-of-maryland-medical-center-6320330,32,67.7,Baltimore,MD,21201-1595
University of Chicago Medical Center,#33 in Adult Cancer Hospitals,67.2/100,"Chicago, IL 60637-1443",https://health.usnews.com/best-hospitals/area/il/university-of-chicago-medical-center-6431210,33,67.2,Chicago,IL,60637-1443
University of Minnesota Medical Center,#33 in Adult Cancer Hospitals,67.2/100,"Minneapolis, MN 55455",https://health.usnews.com/best-hospitals/area/mn/university-of-minnesota-medical-center-6610004,33,67.2,Minneapolis,MN,55455
Duke University Hospital,#35 in Adult Cancer Hospitals,67.1/100,"Durham, NC 27705-4699",https://health.usnews.com/best-hospitals/area/nc/duke-university-medical-center-6360355,35,67.1,Durham,NC,27705-4699
UC Davis Medical Center,#36 in Adult Cancer Hospitals,66.8/100,"Sacramento, CA 95817-2282",https://health.usnews.com/best-hospitals/area/ca/university-of-california-davis-medical-center-6932680,36,66.8,Sacramento,CA,95817-2282
University of North Carolina Hospitals,#36 in Adult Cancer Hospitals,66.8/100,"Chapel Hill, NC 27514-4220",https://health.usnews.com/best-hospitals/area/nc/university-of-north-carolina-hospitals-6360260,36,66.8,Chapel Hill,NC,27514-4220
University of Kentucky Albert B. Chandler Hospital,#38 in Adult Cancer Hospitals,66.1/100,"Lexington, KY 40536-0293",https://health.usnews.com/best-hospitals/area/ky/university-of-kentucky-albert-b-chandler-hospital-6510455,38,66.1,Lexington,KY,40536-0293
Vanderbilt University Medical Center,#39 in Adult Cancer Hospitals,65.8/100,"Nashville, TN 37232-2102",https://health.usnews.com/best-hospitals/area/tn/vanderbilt-university-medical-center-6521060,39,65.8,Nashville,TN,37232-2102
University of Virginia Medical Center,#40 in Adult Cancer Hospitals,65.6/100,"Charlottesville, VA 22908-0001",https://health.usnews.com/best-hospitals/area/va/university-of-virginia-medical-center-6344000,40,65.6,Charlottesville,VA,22908-0001
Cedars-Sinai Medical Center,#41 in Adult Cancer Hospitals,65.5/100,"Los Angeles, CA 90048-1865",https://health.usnews.com/best-hospitals/area/ca/cedars-sinai-medical-center-6930444,41,65.5,Los Angeles,CA,90048-1865
University of Kansas Hospital,#42 in Adult Cancer Hospitals,65.3/100,"Kansas City, KS 66160-7200",https://health.usnews.com/best-hospitals/area/ks/university-of-kansas-hospital-6670510,42,65.3,Kansas City,KS,66160-7200
University of Wisconsin Hospitals,#43 in Adult Cancer Hospitals,65.1/100,"Madison, WI 53792-0002",https://health.usnews.com/best-hospitals/area/wi/university-of-wisconsin-hospital-and-clinics-6450820,43,65.1,Madison,WI,53792-0002
NYU Langone Hospitals,#44 in Adult Cancer Hospitals,64.4/100,"New York, NY 10016-6402",https://health.usnews.com/best-hospitals/area/ny/nyu-langone-medical-center-6212925,44,64.4,New York,NY,10016-6402
UC San Diego Health-Moores Cancer Center,#45 in Adult Cancer Hospitals,64.0/100,"La Jolla, CA 92037",https://health.usnews.com/best-hospitals/area/ca/uc-san-diego-medical-center-6932820,45,64.0,La Jolla,CA,92037
Indiana University Health Medical Center,#46 in Adult Cancer Hospitals,63.3/100,"Indianapolis, IN 46202-5149",https://health.usnews.com/best-hospitals/area/in/iu-health-academic-health-center-6420020,46,63.3,Indianapolis,IN,46202-5149
Mount Sinai Hospital,#47 in Adult Cancer Hospitals,62.3/100,"New York, NY 10029-0310",https://health.usnews.com/best-hospitals/area/ny/mount-sinai-medical-center-6213140,47,62.3,New York,NY,10029-0310
Huntsman Cancer Institute at the University of Utah,#48 in Adult Cancer Hospitals,62.2/100,"Salt Lake City, UT 84132-0002",https://health.usnews.com/best-hospitals/area/ut/university-of-utah-health-care-6870315,48,62.2,Salt Lake City,UT,84132-0002
Beth Israel Deaconess Medical Center,#49 in Adult Cancer Hospitals,62.1/100,"Boston, MA 02215-5491",https://health.usnews.com/best-hospitals/area/ma/beth-israel-deaconess-medical-center-6140013,49,62.1,Boston,MA,02215-5491
Rush University Medical Center,#49 in Adult Cancer Hospitals,62.1/100,"Chicago, IL 60612-3833",https://health.usnews.com/best-hospitals/area/il/rush-university-medical-center-6430985,49,62.1,Chicago,IL,60612-3833
UF Health Shands Hospital,High Performing in Adult Cancer,61.6/100,"Gainesville, FL 32610-3003",https://health.usnews.com/best-hospitals/area/fl/shands-at-the-university-of-florida-6390283,High,61.6,Gainesville,FL,32610-3003
University of Miami Hospital and Clinics-Sylvester Comprehensive Cancer Center,High Performing in Adult Cancer,61.6/100,"Miami, FL 33136-1002",https://health.usnews.com/best-hospitals/area/fl/university-of-miami-hospital-and-clinics-6390610,High,61.6,Miami,FL,33136-1002
Banner University Medical Center Tucson,High Performing in Adult Cancer,61.4/100,"Tucson, AZ 85724-5128",https://health.usnews.com/best-hospitals/area/az/university-of-arizona-medical-center-6860516,High,61.4,Tucson,AZ,85724-5128
Houston Methodist Hospital,High Performing in Adult Cancer,61.2/100,"Houston, TX 77030-2707",https://health.usnews.com/best-hospitals/area/tx/houston-methodist-hospital-6741960,High,61.2,Houston,TX,77030-2707
Dartmouth-Hitchcock Medical Center,High Performing in Adult Cancer,61.0/100,"Lebanon, NH 03756-0001",https://health.usnews.com/best-hospitals/area/nh/dartmouth-hitchcock-medical-center-6120170,High,61.0,Lebanon,NH,03756-0001
Smilow Cancer Hospital at Yale New Haven,High Performing in Adult Cancer,61.0/100,"New Haven, CT 06510-3202",https://health.usnews.com/best-hospitals/area/ct/yale-new-haven-hospital-6160400,High,61.0,New Haven,CT,06510-3202
UT Southwestern Medical Center,High Performing in Adult Cancer,60.5/100,"Dallas, TX 75390-9265",https://health.usnews.com/best-hospitals/area/tx/ut-southwestern-medical-center-6740343,High,60.5,Dallas,TX,75390-9265
Froedtert Hospital and the Medical College of Wisconsin,High Performing in Adult Cancer,60.0/100,"Milwaukee, WI 53226-3596",https://health.usnews.com/best-hospitals/area/wi/froedtert-hospital-and-the-medical-college-of-wisconsin-6452115,High,60.0,Milwaukee,WI,53226-3596
Penn State Health Milton S. Hershey Medical Center,High Performing in Adult Cancer,60.0/100,"Hershey, PA 17033-2360",https://health.usnews.com/best-hospitals/area/pa/penn-state-milton-s-hershey-medical-center-6230705,High,60.0,Hershey,PA,17033-2360
University of Alabama at Birmingham Hospital,High Performing in Adult Cancer,60.0/100,"Birmingham, AL 35249-1900",https://health.usnews.com/best-hospitals/area/al/university-of-alabama-hospital-at-birmingham-6530304,High,60.0,Birmingham,AL,35249-1900
Fox Chase Cancer Center,High Performing in Adult Cancer,59.9/100,"Philadelphia, PA 19111-2434",https://health.usnews.com/best-hospitals/area/pa/fox-chase-cancer-center-6231660,High,59.9,Philadelphia,PA,19111-2434
Emory University Hospital,High Performing in Adult Cancer,59.8/100,"Atlanta, GA 30322",https://health.usnews.com/best-hospitals/area/ga/emory-university-hospital-6380570,High,59.8,Atlanta,GA,30322
Nebraska Medicine-Nebraska Medical Center,High Performing in Adult Cancer,59.5/100,"Omaha, NE 68105",https://health.usnews.com/best-hospitals/area/ne/nebraska-medical-center-6660005,High,59.5,Omaha,NE,68105
Loyola University Medical Center,High Performing in Adult Cancer,59.1/100,"Maywood, IL 60153-3328",https://health.usnews.com/best-hospitals/area/il/loyola-university-medical-center-6430841,High,59.1,Maywood,IL,60153-3328
Carolinas Medical Center,High Performing in Adult Cancer,58.8/100,"Charlotte, NC 28203-5871",https://health.usnews.com/best-hospitals/area/nc/carolinas-medical-center-6360280,High,58.8,Charlotte,NC,28203-5871
UCI Medical Center,High Performing in Adult Cancer,58.3/100,"Orange, CA 92868-3298",https://health.usnews.com/best-hospitals/area/ca/university-of-california-irvine-medical-center-6932290,High,58.3,Orange,CA,92868-3298
Karmanos Cancer Center,High Performing in Adult Cancer,58.1/100,"Detroit, MI 48201-2013",https://health.usnews.com/best-hospitals/area/mi/karmanos-cancer-center-6440043,High,58.1,Detroit,MI,48201-2013
Presbyterian-St. Luke's Medical Center,High Performing in Adult Cancer,57.3/100,"Denver, CO 80218-1281",https://health.usnews.com/best-hospitals/area/co/presbyterian-st-lukes-medical-center-6840365,High,57.3,Denver,CO,80218-1281
Cleveland Clinic Florida,High Performing in Adult Cancer,57.1/100,"Weston, FL 33331-3602",https://health.usnews.com/best-hospitals/area/fl/cleveland-clinic-florida-6390205,High,57.1,Weston,FL,33331-3602
Queen's Medical Center,High Performing in Adult Cancer,57.0/100,"Honolulu, HI 96813-2499",https://health.usnews.com/best-hospitals/area/hi/queens-medical-center-6950380,High,57.0,Honolulu,HI,96813-2499
West Virginia University Hospitals,High Performing in Adult Cancer,57.0/100,"Morgantown, WV 26506-4749",https://health.usnews.com/best-hospitals/area/wv/west-virginia-university-hospitals-6350007,High,57.0,Morgantown,WV,26506-4749
Dan L Duncan Comprehensive Cancer Center at Baylor St. Luke’s Medical Center,High Performing in Adult Cancer,56.9/100,"Houston, TX 77030-2697",https://health.usnews.com/best-hospitals/area/tx/st-lukes-episcopal-hospital-6742005,High,56.9,Houston,TX,77030-2697
Montefiore Medical Center,High Performing in Adult Cancer,56.4/100,"Bronx, NY 10467-2401",https://health.usnews.com/best-hospitals/area/ny/montefiore-medical-center-6213100,High,56.4,Bronx,NY,10467-2401
Medical City Dallas,High Performing in Adult Cancer,56.2/100,"Dallas, TX 75230-2598",https://health.usnews.com/best-hospitals/area/tx/medical-city-dallas-hospital-6741025,High,56.2,Dallas,TX,75230-2598
Advocate Lutheran General Hospital,High Performing in Adult Cancer,56.0/100,"Park Ridge, IL 60068-1174",https://health.usnews.com/best-hospitals/area/il/advocate-lutheran-general-hospital-6430405,High,56.0,Park Ridge,IL,60068-1174
Banner University Medical Center Phoenix,High Performing in Adult Cancer,55.9/100,"Phoenix, AZ 85006-2666",https://health.usnews.com/best-hospitals/area/az/banner-good-samaritan-medical-center-6860250,High,55.9,Phoenix,AZ,85006-2666
Ochsner Medical Center,High Performing in Adult Cancer,55.9/100,"New Orleans, LA 70121-2429",https://health.usnews.com/best-hospitals/area/la/ochsner-medical-center-6720631,High,55.9,New Orleans,LA,70121-2429
Hackensack University Medical Center,High Performing in Adult Cancer,55.8/100,"Hackensack, NJ 07601-1914",https://health.usnews.com/best-hospitals/area/nj/hackensack-university-medical-center-6220340,High,55.8,Hackensack,NJ,07601-1914
Hoag Memorial Hospital Presbyterian,High Performing in Adult Cancer,55.7/100,"Newport Beach, CA 92663-4120",https://health.usnews.com/best-hospitals/area/ca/hoag-memorial-hospital-presbyterian-6932115,High,55.7,Newport Beach,CA,92663-4120
Lenox Hill Hospital,High Performing in Adult Cancer,55.6/100,"New York, NY 10075-1850",https://health.usnews.com/best-hospitals/area/ny/lenox-hill-hospital-6212990,High,55.6,New York,NY,10075-1850
Cleveland Clinic Fairview Hospital,High Performing in Adult Cancer,54.9/100,"Cleveland, OH 44111-5656",https://health.usnews.com/best-hospitals/area/oh/fairview-hospital-6410710,High,54.9,Cleveland,OH,44111-5656
Kaiser Permanente Downey Medical Center,High Performing in Adult Cancer,54.6/100,"Downey, CA 90242-2812",https://health.usnews.com/best-hospitals/area/ca/kaiser-permanente-downey-medical-center-6930243,High,54.6,Downey,CA,90242-2812
MedStar Georgetown University Hospital,High Performing in Adult Cancer,54.6/100,"Washington, DC 20007-2197",https://health.usnews.com/best-hospitals/area/dc/medstar-georgetown-university-hospital-6330130,High,54.6,Washington,DC,20007-2197
University of Illinois Hospital,High Performing in Adult Cancer,54.6/100,"Chicago, IL 60612-7232",https://health.usnews.com/best-hospitals/area/il/university-of-illinois-hospital-chicago-6430553,High,54.6,Chicago,IL,60612-7232
University of Cincinnati Medical Center,High Performing in Adult Cancer,54.5/100,"Cincinnati, OH 45219-2316",https://health.usnews.com/best-hospitals/area/oh/university-of-cincinnati-medical-center-6410435,High,54.5,Cincinnati,OH,45219-2316
Sentara Norfolk General Hospital,High Performing in Adult Cancer,54.3/100,"Norfolk, VA 23507-1904",https://health.usnews.com/best-hospitals/area/va/sentara-norfolk-general-hospital-6340620,High,54.3,Norfolk,VA,23507-1904
Henry Ford Hospital,High Performing in Adult Cancer,54.2/100,"Detroit, MI 48202-2608",https://health.usnews.com/best-hospitals/area/mi/henry-ford-hospital-6440650,High,54.2,Detroit,MI,48202-2608
Robert Wood Johnson University Hospital,High Performing in Adult Cancer,53.9/100,"New Brunswick, NJ 08901-1928",https://health.usnews.com/best-hospitals/area/nj/robert-wood-johnson-university-hospital-6220920,High,53.9,New Brunswick,NJ,08901-1928
Aurora St. Luke's Medical Center,High Performing in Adult Cancer,53.5/100,"Milwaukee, WI 53215-4330",https://health.usnews.com/best-hospitals/area/wi/aurora-st-lukes-medical-center-6450017,High,53.5,Milwaukee,WI,53215-4330
